Buckets,Error
3,11674992
4,8579360
2,16854418
5,6637852
9,3809716
7,4854496
8,4299787
6,5589445
10,3434301
11,3138465
12,2925951
13,2708408
14,2569205
15,2348137
17,2068704
16,2214148
18,1986145
19,1868884
21,1762218
20,1787950
22,1635533
23,1571653
24,1515606
25,1457176
28,1385217
29,1276126
26,1401576
27,1347225
30,1254859
31,1191240
32,1163293
33,1133000
34,1114458
35,1109680
36,1224841
37,1034345
39,975139
40,941189
38,985775
41,926403
42,913602
43,884296
44,852364
45,848090
47,815613
46,832803
49,840569
48,806075
50,772881
51,768511
52,772128
53,719732
54,1390869
55,721391
56,716098
57,700754
58,687810
59,867587
60,684573
61,674428
63,680339
62,651833
64,650445
65,658205
67,610808
66,627731
68,608775
69,613140
70,666562
72,765035
71,707059
73,594072
75,584759
76,582676
74,585178
77,557051
78,584274
80,555384
79,524918
81,1201268
82,1264057
83,582385
84,622391
85,526768
87,521833
86,715981
88,597091
89,528201
91,527731
90,580682
92,488804
93,492776
94,589070
96,515842
95,516103
97,643640
98,532016
99,506755
100,505574
101,482443
102,536708
103,482171
104,512834
105,755282
106,506123
107,484522
108,1387077
109,472424
110,486392
111,484615
112,486467
113,462872
114,474089
115,465752
116,468090
117,482705
118,489958
119,476821
120,484103
121,673486
123,475968
122,530383
124,1191996
125,465934
126,473532
127,473788
128,454615
129,724362
130,466992
131,451919
132,418986
133,489376
134,423766
135,437650
136,1384500
138,440240
137,470802
139,457826
140,436687
141,452376
142,555062
143,592718
144,505840
145,444041
147,457326
146,429673
148,708163
149,427288
150,424402
151,454273
152,428551
153,422769
154,592033
155,447571
156,442737
157,413721
158,434421
159,417340
160,458690
162,1093720
161,538229
163,459510
165,686503
164,406812
166,444891
167,451114
168,415347
169,428674
170,439635
171,429795
172,658011
173,395936
174,599082
175,446662
177,618717
178,582491
176,414052
179,404737
180,387736
181,384919
182,422724
183,414895
184,420538
185,468009
186,413997
187,413016
190,394352
188,691605
189,466743
191,385260
192,417146
194,539339
193,442499
195,411840
196,396870
198,415386
197,408551
199,408681
200,403272
201,427219
202,667698
203,391997
204,436166
205,425945
206,1399282
207,408127
208,394151
209,414826
210,482247
211,409751
212,416722
214,428070
213,412121
215,408733
216,419320
217,432094
218,437755
219,574766
220,388102
221,394523
222,413761
223,695674
226,414966
224,412837
227,561487
225,414426
228,417168
229,831166
230,406579
231,401745
232,405137
233,537326
234,408806
235,401649
236,557405
237,369244
239,615860
238,432113
240,406706
242,565531
241,465807
243,407232
244,608890
245,468645
246,411006
247,390714
248,1123745
249,428636
250,425132
251,417268
252,419722
253,421607
254,504997
255,528961
256,406520
