B,Error,Mode
222,413761,2
224,45334,1
223,695674,2
225,40967,1
224,412837,2
226,37111,1
225,414426,2
227,34225,1
226,414966,2
228,31687,1
227,561487,2
229,29832,1
230,28422,1
228,417168,2
229,831166,2
231,27306,1
230,406579,2
232,26088,1
231,401745,2
232,405137,2
233,25019,1
234,23976,1
233,537326,2
235,23059,1
234,408806,2
236,22046,1
235,401649,2
236,557405,2
237,20994,1
238,19932,1
237,369244,2
239,18743,1
238,432113,2
240,17388,1
239,615860,2
241,15783,1
240,406706,2
242,13933,1
241,465807,2
243,12185,1
242,565531,2
244,9927,1
243,407232,2
245,7938,1
244,608890,2
246,6103,1
245,468645,2
247,4482,1
246,411006,2
248,3002,1
247,390714,2
249,1928,1
248,1123745,2
250,1081,1
249,428636,2
251,544,1
250,425132,2
252,229,1
251,417268,2
253,65,1
252,419722,2
254,0,1
253,421607,2
254,504997,2
255,0,1
256,0,1
255,528961,2
256,406520,2
